Date,Open,High,Low,Close,Adj Close,Volume,Company
02-01-2018,86.129997,86.309998,85.5,85.949997,85.17894,22483800,RIL
03-01-2018,86.059998,86.510002,85.970001,86.349998,85.575356,26061400,TCS
04-01-2018,86.589996,87.660004,86.57,87.110001,86.328537,21912000,TCS
05-01-2018,87.660004,88.410004,87.43,88.190002,87.398849,23407100,TCS
08-01-2018,88.199997,88.580002,87.599998,88.279999,87.488037,22113000,TCS
09-01-2018,88.650002,88.730003,87.860001,88.220001,87.428581,19484300,TCS
10-01-2018,87.860001,88.190002,87.410004,87.82,87.032166,18652200,TCS
11-01-2018,88.129997,88.129997,87.239998,88.080002,87.289833,17808900,INFY
12-01-2018,88.669998,89.779999,88.449997,89.599998,88.796204,24271500,INFY
16-01-2018,90.099998,90.790001,88.010002,88.349998,87.557411,36599700,INFY
17-01-2018,89.080002,90.279999,88.75,90.139999,89.331352,25602600,INFY
18-01-2018,89.800003,90.669998,89.660004,90.099998,89.29171,24159700,TCS
19-01-2018,90.139999,90.610001,89.660004,90,89.192604,36875000,TCS
22-01-2018,90,91.620003,89.739998,91.610001,90.78817,23601600,RIL
23-01-2018,91.900002,92.300003,91.540001,91.900002,91.075562,23412800,RIL
24-01-2018,92.550003,93.43,91.580002,91.82,90.996284,33277500,RIL
25-01-2018,92.470001,93.239998,91.93,92.330002,91.501709,26383200,RIL
26-01-2018,93.120003,94.059998,92.580002,94.059998,93.216187,29172200,RIL
29-01-2018,95.139999,95.449997,93.720001,93.919998,93.077446,31569900,RIL
30-01-2018,93.300003,93.660004,92.099998,92.739998,91.908028,38635100,RIL
31-01-2018,93.75,95.400002,93.510002,95.010002,94.157661,48756300,RIL
01-02-2018,94.790001,96.07,93.580002,94.260002,93.414398,47227900,INFY
02-02-2018,93.639999,93.970001,91.5,91.779999,90.956635,47867800,INFY
05-02-2018,90.559998,93.239998,88,88,87.210556,51031500,INFY
06-02-2018,86.889999,91.480003,85.25,91.330002,90.510681,67998600,INFY
07-02-2018,90.489998,91.769997,89.199997,89.610001,88.806107,41107600,TCS
08-02-2018,89.709999,89.879997,84.760002,85.010002,84.247375,55628700,TCS
09-02-2018,86.300003,88.93,83.830002,88.18,87.388939,63499100,TCS
12-02-2018,88.739998,89.779999,87.93,89.129997,88.330406,35720300,TCS
13-02-2018,88.93,90,87.800003,89.830002,89.024132,26407700,TCS
14-02-2018,88.510002,90.989998,88.410004,90.809998,90.418091,34960900,RIL
15-02-2018,91.209999,92.720001,90.620003,92.660004,92.260117,27823900,RIL
16-02-2018,92.449997,93.5,91.800003,92,91.602959,30596900,RIL
20-02-2018,91.480003,93.059998,91.010002,92.720001,92.319855,30911700,RIL
21-02-2018,92.980003,93.360001,91.489998,91.489998,91.095154,26922500,RIL
22-02-2018,92.050003,92.730003,91.360001,91.730003,91.334129,24392800,RIL
23-02-2018,93.599998,94.07,92.360001,94.059998,93.654068,26329200,RIL
26-02-2018,94.400002,95.449997,94.25,95.419998,95.008194,30199800,INFY
27-02-2018,95.739998,95.839996,94.199997,94.199997,93.793457,25869100,INFY
28-02-2018,94.839996,95.709999,93.629997,93.769997,93.365318,31167300,INFY
01-03-2018,93.989998,94.57,91.839996,92.849998,92.449287,37135600,INFY
02-03-2018,91.580002,93.150002,90.860001,93.050003,92.64843,32830400,INFY
05-03-2018,92.339996,94.269997,92.260002,93.639999,93.235878,23901600,INFY
06-03-2018,94.339996,94.489998,92.940002,93.32,92.917259,22175800,INFY
07-03-2018,93.160004,93.940002,92.43,93.860001,93.454933,26716100,INFY
08-03-2018,94.269997,95.099998,93.769997,94.43,94.022469,25887800,INFY
09-03-2018,95.290001,96.540001,95,96.540001,96.123367,36937300,INFY
12-03-2018,96.5,97.209999,96.040001,96.769997,96.352371,26073700,INFY
13-03-2018,97,97.239998,93.970001,94.410004,94.002563,35387800,INFY
14-03-2018,95.120003,95.410004,93.5,93.849998,93.444969,32132000,INFY
15-03-2018,93.529999,94.580002,92.830002,94.18,93.773552,27611000,TCS
16-03-2018,94.68,95.379997,93.919998,94.599998,94.191734,49081300,TCS
19-03-2018,93.739998,93.900002,92.110001,92.889999,92.489113,33344100,TCS
20-03-2018,93.050003,93.769997,93,93.129997,92.728081,23075200,TCS
21-03-2018,92.93,94.050003,92.209999,92.480003,92.080887,24457100,TCS
22-03-2018,91.269997,91.75,89.660004,89.790001,89.402496,38604700,TCS
23-03-2018,89.5,90.459999,87.080002,87.18,86.803757,44068900,TCS
26-03-2018,90.610001,94,90.400002,93.779999,93.375275,56396800,TCS
27-03-2018,94.940002,95.139999,88.510002,89.470001,89.083878,56569000,TCS
28-03-2018,89.82,91.230003,88.870003,89.389999,89.004219,52501100,TCS
29-03-2018,90.18,92.290001,88.400002,91.269997,90.876106,45867500,TCS
02-04-2018,90.470001,90.879997,87.510002,88.519997,88.13797,48515400,TCS
03-04-2018,89.580002,90.050003,87.889999,89.709999,89.322838,37213800,TCS
04-04-2018,87.849998,92.760002,87.730003,92.330002,91.931534,35560000,TCS
05-04-2018,92.440002,93.07,91.400002,92.379997,91.981316,29771900,TCS
06-04-2018,91.489998,92.459999,89.480003,90.230003,89.840599,38026000,TCS
09-04-2018,91.040001,93.169998,90.620003,90.769997,90.378265,31533900,RIL
10-04-2018,92.389999,93.279999,91.639999,92.879997,92.479156,26812000,RIL
11-04-2018,92.010002,93.290001,91.480003,91.860001,91.463562,24872100,RIL
12-04-2018,92.43,94.160004,92.43,93.580002,93.17614,26758900,RIL
13-04-2018,94.050003,94.18,92.440002,93.080002,92.678299,23346100,RIL
16-04-2018,94.07,94.660004,93.419998,94.169998,93.763588,20288100,RIL
17-04-2018,95,96.540001,94.879997,96.07,95.655396,26771000,RIL
18-04-2018,96.220001,96.720001,95.519997,96.440002,96.023796,21043300,RIL
19-04-2018,96.440002,97.07,95.339996,96.110001,95.695221,23552500,RIL
20-04-2018,95.910004,96.110001,94.050003,95,94.590012,31154400,RIL
23-04-2018,95.739998,96.290001,94.629997,95.349998,94.938499,22331800,RIL
24-04-2018,96.239998,96.470001,92.410004,93.120003,92.718124,34524800,RIL
25-04-2018,93.300003,93.300003,90.279999,92.309998,91.911621,33729300,RIL
26-04-2018,93.550003,95.150002,93.099998,94.260002,93.85321,42529000,RIL
27-04-2018,97.599998,97.900002,93.910004,95.82,95.406471,48272800,RIL
30-04-2018,96.330002,96.400002,93.150002,93.519997,93.116394,41523600,RIL
01-05-2018,93.209999,95.290001,92.790001,95,94.590012,31408900,RIL
02-05-2018,94.989998,95.169998,93.190002,93.510002,93.106445,27471000,RIL
03-05-2018,92.959999,94.93,92.449997,94.07,93.664024,31142500,RIL
04-05-2018,93.32,95.370003,92.919998,95.160004,94.749321,22531300,RIL
07-05-2018,95.169998,96.709999,95.099998,96.220001,95.804749,24242000,TCS
08-05-2018,95.849998,96.160004,95.059998,95.809998,95.396515,23484600,TCS
09-05-2018,96.010002,96.970001,95.050003,96.940002,96.521645,27327400,TCS
10-05-2018,97.459999,97.949997,97.050003,97.910004,97.487457,22388100,TCS
11-05-2018,97.800003,97.870003,97.040001,97.699997,97.278358,16778300,TCS
14-05-2018,97.919998,98.690002,97.309998,98.029999,97.606934,19454100,TCS
15-05-2018,97.239998,97.849998,96.339996,97.32,96.900002,24594000,TCS
16-05-2018,97.360001,97.400002,96.620003,97.150002,97.150002,17384700,TCS
17-05-2018,96.760002,97.540001,95.830002,96.18,96.18,17246700,TCS
18-05-2018,96.010002,96.93,96.010002,96.360001,96.360001,17865800,TCS
21-05-2018,97,98.010002,96.800003,97.599998,97.599998,19422500,TCS
22-05-2018,97.68,98.169998,97.199997,97.5,97.5,15441200,TCS
23-05-2018,96.709999,98.730003,96.32,98.660004,98.660004,21114800,TCS
24-05-2018,98.730003,98.940002,96.809998,98.309998,98.309998,21540800,TCS
25-05-2018,98.300003,98.980003,97.860001,98.360001,98.360001,18363900,TCS
29-05-2018,97.839996,98.879997,97.230003,98.010002,98.010002,28338000,TCS
30-05-2018,98.309998,99.25,97.910004,98.949997,98.949997,22158500,TCS
31-05-2018,99.290001,99.989998,98.610001,98.839996,98.839996,34140900,TCS
01-06-2018,99.279999,100.860001,99.169998,100.790001,100.790001,28126200,TCS
04-06-2018,101.260002,101.860001,100.849998,101.669998,101.669998,27166800,TCS
05-06-2018,102,102.330002,101.529999,102.190002,102.190002,23514400,TCS
06-06-2018,102.480003,102.599998,101.900002,102.489998,102.489998,21122900,TCS
07-06-2018,102.650002,102.690002,100.379997,100.879997,100.879997,28232200,TCS
08-06-2018,101.089996,101.949997,100.540001,101.629997,101.629997,22165100,TCS
11-06-2018,101.010002,101.589996,100.669998,101.050003,101.050003,23490900,INFY
12-06-2018,101.099998,101.449997,100.75,101.309998,101.309998,18060000,INFY
